ID	paper_id	title	text	api	What municipalities have placed restrictions on tobacco products?	Can I use vaping to quit smoking?	How common is vaping amongst teenagers?	What companies have violated FDA regulations? 	What disparities exist in tobacco use?	How old do you have to be to buy cigarettes?	Are there any reports on illegally traded tobacco products?	What regulations has the FDA passed?	What is the effect of second hand smoke?	Is vaping bad for me?
46	3df833eb-b634-3114-88a5-01ad0beaeb28	KU among first to ban plastic bags in Sindh: Wahab	Karachi The University of Karachi is the first university in the province which has completely banned the use of plastic bags on the campus. It is also among those few which have welcomed the decision of the Sindh government to put a ban on the use of plastic bags by implementing the government’s initiative. By reducing the use of plastic bags and growing trees in large numbers, we can play a very vital role in minimizing the environmental hazards. The government cannot bring changes alone; it always needs public support to successfully run and implement its drive. These views were expressed by the adviser to the provincial chief minister on law, environment and coastal development, Barrister Murtaza Wahab, on Wednesday. He was addressing as chief guest a seminar, titled ‘Environmental Awareness and Plantation Drive 2019’, which was held at the Karachi University Business Administration’s auditorium. The seminar was organised to create awareness regarding Karachi’s environmental issues and what would be the role of the masses to make environment clean and green. Wahab shared that during recent heavy rainfall he had witnessed that sewerage lines were unable to clear the rainwater as most of them were filled with plastic bags and solid waste material due to which the drainage system was chocked. “Public after using plastic bags carelessly throw it away and later it becomes problem for the governments and other concerned departments and agencies. We have to create awareness among the masses that they should not use plastic bags anymore and put their garbage in the dumping centres.” He mentioned that the provincial and federal governments worked on legislation and after debating every aspect of proposed law they passed it to implement for the betterment of the society. However, he said that we also have to create awareness regarding the laws so that they could be enforced in letter and spirit. He said that laws are passed to facilitate public and people should also put them into practice; otherwise, society would not get any benefit from such laws. “If, we plant a tree today, it will benefit our children in future. We shouldn’t be happy after planting a sapling only. We also have to take good care of the plant until it grows completely.” Wahab urged that every citizen should take part in the plantation drive and the Sindh government would provide whatever was needed to plant a sapling. KU Vice Chancellor Professor Dr Khalid Mahmood Iraqi said that Karachi was facing many environmental issues, severely affecting its biophysical environment as well as human health. He further said that air pollution, lack of proper waste management infrastructure and degradation of water bodies were major environmental issues in Karachi. He observed that at the present rate of development and economic growth we were rapidly depleting the natural resource base on which man’s existence depended. “Karachi University has a commitment to a better environmental future of the country. This university is a history setter and now we have set a history by following the right roadmap and setting healthy traditions in the campus.” Dr Iraqi added that the University of Karachi was developing linkages in the field of environment and working on installing pollution control technology through consultation and technical guidance in the campus. He mentioned that trees and plants were the prime source of environmental purification and beautification and played an essential role on a grand scale as well as on local level. Earlier, Professor Dr Moazzam Ali Khan, through a presentation, shed light on Karachi’s civic problems. He informed the audience that 75 percent of total solid waste collected from various parts of the city could be recycled and reused and there was no harm is using recycled items. He said that the city required around 100 million gallons of additional water per day (MGD) after every five years to bridge the gap of demand and supply. In 2015, the requirement of the water in Karachi was over 1,100 MGD from several sources, but it was only getting 650 MGD and still there was a huge gap in demand and supply. “Our air is polluted, we are facing water shortfall while there isn’t proper treatment of the sewerage system. This city produces 20,000 metric tons of solid waste daily and most of them are left unattended or being burnt in the open.” He said that this was our everyday business and it was everyone’s business that was why we all must have to work together to bring about change in the society. We should not throw our garbage outside our homes and should act as sensible citizens. He said that environmental issues were a subject of attitude and there was need to change attitude to bring about positive changes in the society. Professor Dr Moazzam Khan added that rather than blaming governments and other relevant agencies, citizens should take some initiatives to make their areas clean and green. Later, Barrister Wahab, Dr Iraqi, deans of all faculties, Iqra University VC Dr Waseem Qazi planted a sapling to launch a three-day plantation drive on the campus. All the departments, centres and institutions of the varsity also participated in the drive along with students and faculty members. The KU also introduced cloth bags as replacement for plastic bags at the end of the seminar. The University of Karachi is the first university in the province which has completely banned the use of plastic bags on the campus. It is also among those few which have welcomed the decision of the Sindh government to put a ban on the use of plastic bags by implementing the government’s initiative. By reducing the use of plastic bags and growing trees in large numbers, we can play a very vital role in minimizing the environmental hazards. The government cannot bring changes alone; it always needs public support to successfully run and implement its drive. These views were expressed by the adviser to the provincial chief minister on law, environment and coastal development, Barrister Murtaza Wahab, on Wednesday. He was addressing as chief guest a seminar, titled ‘Environmental Awareness and Plantation Drive 2019’, which was held at the Karachi University Business Administration’s auditorium. The seminar was organised to create awareness regarding Karachi’s environmental issues and what would be the role of the masses to make environment clean and green. Wahab shared that during recent heavy rainfall he had witnessed that sewerage lines were unable to clear the rainwater as most of them were filled with plastic bags and solid waste material due to which the drainage system was chocked. “Public after using plastic bags carelessly throw it away and later it becomes problem for the governments and other concerned departments and agencies. We have to create awareness among the masses that they should not use plastic bags anymore and put their garbage in the dumping centres.” He mentioned that the provincial and federal governments worked on legislation and after debating every aspect of proposed law they passed it to implement for the betterment of the society. However, he said that we also have to create awareness regarding the laws so that they could be enforced in letter and spirit. He said that laws are passed to facilitate public and people should also put them into practice; otherwise, society would not get any benefit from such laws. “If, we plant a tree today, it will benefit our children in future. We shouldn’t be happy after planting a sapling only. We also have to take good care of the plant until it grows completely.” Wahab urged that every citizen should take part in the plantation drive and the Sindh government would provide whatever was needed to plant a sapling. KU Vice Chancellor Professor Dr Khalid Mahmood Iraqi said that Karachi was facing many environmental issues, severely affecting its biophysical environment as well as human health. He further said that air pollution, lack of proper waste management infrastructure and degradation of water bodies were major environmental issues in Karachi. He observed that at the present rate of development and economic growth we were rapidly depleting the natural resource base on which man’s existence depended. “Karachi University has a commitment to a better environmental future of the country. This university is a history setter and now we have set a history by following the right roadmap and setting healthy traditions in the campus.” Dr Iraqi added that the University of Karachi was developing linkages in the field of environment and working on installing pollution control technology through consultation and technical guidance in the campus. He mentioned that trees and plants were the prime source of environmental purification and beautification and played an essential role on a grand scale as well as on local level. Earlier, Professor Dr Moazzam Ali Khan, through a presentation, shed light on Karachi’s civic problems. He informed the audience that 75 percent of total solid waste collected from various parts of the city could be recycled and reused and there was no harm is using recycled items. He said that the city required around 100 million gallons of additional water per day (MGD) after every five years to bridge the gap of demand and supply. In 2015, the requirement of the water in Karachi was over 1,100 MGD from several sources, but it was only getting 650 MGD and still there was a huge gap in demand and supply. “Our air is polluted, we are facing water shortfall while there isn’t proper treatment of the sewerage system. This city produces 20,000 metric tons of solid waste daily and most of them are left unattended or being burnt in the open.” He said that this was our everyday business and it was everyone’s business that was why we all must have to work together to bring about change in the society. We should not throw our garbage outside our homes and should act as sensible citizens. He said that environmental issues were a subject of attitude and there was need to change attitude to bring about positive changes in the society. Professor Dr Moazzam Khan added that rather than blaming governments and other relevant agencies, citizens should take some initiatives to make their areas clean and green. Later, Barrister Wahab, Dr Iraqi, deans of all faculties, Iqra University VC Dr Waseem Qazi planted a sapling to launch a three-day plantation drive on the campus. All the departments, centres and institutions of the varsity also participated in the drive along with students and faculty members. The KU also introduced cloth bags as replacement for plastic bags at the end of the seminar.	rss										
47	0ec3c7b5-5f39-3c3b-8a48-2567d05f8edb	ITG Brands Announces New Leadership	GREENSBORO, N.C. — ITG Brands LLC will have a new president, effective Nov. 7.  Veteran consumer packaged goods (CPG) and tobacco industry leader Dan Carr will join ITG as president, assuming oversight of the company's sales, marketing and operations functions. He will report to ITG Brand's Chief Executive Officer David Taylor, who will continue to serve as CEO.  "Dan comes to ITG Brands with a powerful combination of fast-moving consumer packaged goods experience and extensive tobacco qualifications in both smokeless and cigars," Taylor said.  Carr began his career in the CPG with Scott Paper, which later merged with Kimberly-Clark Corp. In 1996, he joined General Cigar and became vice president of sales in 1998. He went on to accept positions of increasing responsibility and leadership that broadened his scope to marketing, operations and supply chain, ultimately serving as president of General Cigar, which was fully acquired by Swedish Match in 2005 and now owned by Scandinavian Tobacco Group.  "Dan has aligned teams of varying sizes and has done so multiple times in the tobacco industry," added Taylor. "He understands distribution channels, regulatory challenges and the different levers that can be pulled to drive growth. He recognizes what it takes to drive a U.S. business in collaboration with a global strategy."  Carr received a bachelor's degree in Business Administration from Ramapo College of New Jersey. His education and accreditation background also includes Harvard Business School's Advanced Management Program.  He serves on various boards including more than 15 years for the Cigar Association of America. There he is a two-term chairman. He also serves the University of Richmond's Robins School of Business Executive Advisory Council, and more than 10 years as a board member for the Tobacco Merchants Association.  Greensboro-based ITG Brands was formed in 2015. It is the third-largest tobacco manufacturer and marketer of tobacco products in the United States. Its cigarette brands include Winston, Kool, USA Gold and Maverick, and cigar brands Dutch Masters, Backwoods and Phillies. It also sells blu e-Cigarettes.	bing										
48	8ca55ea0-781a-38ab-a276-7e1b18149745	UK Health Groups Recommend Use Of E-Cigarettes As Smoking Cessation Tool	Health officials in the United Kingdom believe that e-cigarettes could be a helpful tool in helping people quit smoking.  Contrary to the view of health officials in the United States that using e-cigarettes could pose detrimental effects to health, those from the United Kingdom think otherwise. In fact, they believe that e-cigarettes are less harmful than normal cigarettes and these could be used as an important tool in helping most smokers quit tobacco altogether.  Public Health England (PHE), a group of health officials from more than 70 organizations in the United Kingdom, released an independent review of the evidence that assessed the effects of e-cigarettes to health.  E-cigarettes are 95 percent less harmful to the body because these do not contain free radicals, PHE found.  The agency believes that using e-cigarettes as a "stop smoking" aid can be helpful since these provide a high-nicotine hit that other nicotine delivery products do not give. This will help smokers work their way down to a zero dosage, effectively weaning off from nicotine addiction completely.  In the assessment report released, key findings show that smokers who tried other methods to quit smoking and had no result can be urged to try using e-cigarettes instead. This can be done through the help of health professionals who can provide behavioral support.  The use of e-cigarettes can help reduce smoking-related diseases, health inequalities and death, the officials reiterated. E-cigarettes can be used by those who can't abruptly stop smoking or those who don't want to stop.  Health officials also found that e-cigarettes can help people quit smoking and actually reduce the consumption of cigarettes. Though more research is needed, the officials said that there is evidence that e-cigarettes can encourage quitting or reducing cigarette consumption even among those who do not intend to quit smoking.  "We believe this review will prove a valuable resource, explaining the relative risks and benefits of e-cigarettes, in terms of harm reduction when compared with cigarettes and as an aid to quitting," said [PDF] Duncan Selbie, chief executive of PHE.  "We will continue to monitor the position and will add to the evidence base and guidance going forward," he added.	bing		Health officials in the United Kingdom believe that e-cigarettes could be a helpful tool in helping people quit smoking								
49	8c707dc5-985e-30c0-acbb-d16571f1ce7e	Implementing a smoke-free hospital site policy	Turning an entire hospital site into a smoke-free environment sounds like a daunting project but good communication and careful preparation can lead to success.  In 2013 NICE recommended that hospital sites become smoke-free. The guidance noted that smoking cessation can have considerable health benefits, and patients in hospital who quit benefit from shorter lengths of stay and fewer complications.  Since 2013 our trust’s policy included a partial ban on smoking across the site with the provision of three external smoking shelters for patient and visitor use only. All staff, patients, carers and the general public had access to the on-site or community-based stop smoking services. Our new policy, launched at the beginning of this year, aims to achieve a smoke-free site whereby smoking is not allowed on any part of the trust’s grounds.  We started planning the policy nine months before its launch. A neighbouring trust had decided to launch its policy on the same date, while two other local trusts had already done so. We were able to learn from their implementation and facilitate standardisation across the local health economy in Coventry and Warwickshire.  We set up a group of representatives from across the trust, which was led by the public health manager. Key stakeholders are outlined in Box 1.  The group met monthly and developed an action plan. Communication was vital, especially with staff and patients, and our neighbours who live and work near to the trust. This included local radio and newspaper coverage, delivering letters to local residents, briefing staff via a ward managers’ pack (including an example of the disciplinary process) and changing the wording of all patient leaflets and letters. We agreed a protocol across the trust for nicotine replacement therapy, and made stock available 24 hours a day for patients who wanted to manage without cigarettes during their stay and for those who wanted to quit.  Smokers who wanted to quit could access help from NHS Warwickshire Stop Smoking Service located in the ambulatory care unit at the hospital site or at a range of locations across Warwickshire.  All health professionals received brief intervention training, which takes a few minutes. The main messages are to:  Implementation went smoothly and we carried out a three-month evaluation. In the first few weeks we had a daily monitoring patrol, but this has now been reduced to weekly, in addition to security and staff reporting any breaches. So far we have had only one complaint from neighbours regarding staff congregating at the perimeters, and one member of staff received an informal warning for smoking offsite in uniform. The general feedback from smokers has been positive, with few adverse comments. Some staff are still reluctant to approach smokers on site because of the fear of violence and aggression, but by continuing to share the generally positive experiences of staff who have approached smokers we hope to dispel these anxieties.  Implementing a smoke-free policy can be daunting but collaboration, good communication and careful preparation are key to success. This includes the provision of education and training of staff and practical support for patients who smoke.	google										
50	7d02c927-0048-3f38-b04d-cb17d6354492	FDA tobacco director ignores 2.5 million 'anecdotal reports' about e-cigarettes	Also noteworthy: In May, the CDC published smoking statistics from the 2015 NHIS, but it just this past week produced information on e-cigarettes.  Altogether, 3.5 percent of all USA adults were e-cigarette users in 2015, down slightly from 3.7 percent in 2014, the CDC survey found. That is more than double the 13 percent youth cigarette-smoking rate in Montana. National studies report an increase in use of smokeless tobacco by high school athletes and found that athletes were nearly 80 percent more likely to use smokeless tobacco products than non-athletes. In the same time period, high school students using e-cigarettes within the past 30 days rose from 1.5 percent to 2.8 percent. E-cigarettes are now more popular with teenagers than traditional cigarettes. Researchers have also reported that teens who use e-cigarettes are more likely to switch to using regular cigarettes. In 2015, 24 percent of high school students were current users of e-cigarettes, compared to 11 percent who smoked cigarettes, a previous CDC survey found. This raises concern that there may be young people for whom e-cigarettes could be an entry point to use of conventional tobacco products, including cigarettes.  While some people will claim that e-cigarettes are better than traditional tobacco products, the fact is they are still a nicotine delivery system. Tobacco use and addiction mostly begin during adolescence. This would discourage smokers in North Dakota from using these products to quit, which seems to contradict the supposed reason for this huge tax increase.  "These data show a dramatic rise in usage of e-cigarettes by youth, and this is cause for great concern as we don't yet understand the long-term effects of these novel tobacco products", said Mitch Zeller, director of FDA's Center for Tobacco Products. They constitute population-level evidence. FDA is required to use a population health standard. However, there are proven cessation strategies and treatments, including counseling and FDA-approved cessation medications. Don't be tricked by Big Tobacco, get involved today!	bing			In 2015, 24 percent of high school students were current users of e-cigarettes, compared to 11 percent who smoked cigarettes, a previous CDC survey found							
51	e1daec3c-d642-3d45-aff8-46c9005641b5	Navigating Cancer 2/21/2017: E-cigarettes may be a safer alternative	If you have watched television lately, you have seen the campaign directed at eliminating smoking altogether. In an attempt to stop smoking, many people turn to e-  cigarettes in an attempt to quit, or at least as an alternative to cigarettes with a feeling that the e-cigarette will be safer.  As the use of e-cigarettes continues to rise, concerns about their long-term effects on health have persisted. But now, a new study finds that smokers who switch to e-cigarettes only, much like those who switch to nicotine replacement therapy only, have fewer carcinogens and toxins in their bodies after six months, than those who continue to smoke cigarettes. This is important because it adds to the growing evidence that e-  cigarettes are a much safer alternative to smoking conventional tobacco cigarettes. This study, funded by the Cancer Research UK was recently published in the Annals of Internal Medicine.  The impact and cost of cigarettes is enormous. According to the World Health Organization, tobacco use kills around 5 million people per year, and more than 600,000 non-smokers who are exposed to second-hand smoke. Yes, 600,000 non-smokers.  Why is tobacco smoke so dangerous? At least 250 of the 4,000 chemicals in tobacco smoke are known to be harmful, including 50 that are known to cause cancer.  Electronic cigarettes are battery-operated devices that deliver nicotine that can be flavored, as well as other chemicals through vapor instead of smoke. In the United States, there are more than 250 brands of e-cigarettes on the market. Some look like traditional combustible cigarettes, cigars or pipes that deliver nicotine by burning tobacco, while others look like everyday items such as USB memory sticks and even your basic ink pens. While e-cigarettes are often promoted as safer alternatives to traditional, combustible cigarettes, the authors of the new study note that there has not been much research on the long-term health effects of the electronic cigarettes.  In some previous reports, research has suggested that e-cigarettes cause as much harm as combustible cigarettes, but the study authors note that they are based on research that does not reflect real-world exposure of e-cigarette users. The new study is the first of its kind because it analyzes intake of potentially harmful chemicals. Previous studies have measured potential toxicity of e-cigarettes by analyzing chemicals in the products and the vapor they produce.  In this study, researchers looked at saliva and urine samples, and measured the intake of potentially harmful chemicals in various groups of people, including former smokers who used e-cigarettes only for six months, former smokers who used licensed nicotine replacement therapy (NRT) only for six months, and smokers who continued to smoke regular cigarettes.  The results showed that while their levels of nicotine remained much the same, former smokers who had used e-cigarettes only or NRT only for six months had significantly lower levels of toxic chemicals and carcinogens in their bodies than the people who continued to smoke combustible cigarettes. However, participants who used e-cigarettes or NRT while continuing to smoke regular cigarettes did not show the same large reduction, suggesting that there must be a complete switch from traditional cigarettes to an e-cigarette to see a significant reduction in exposure to toxins.  In this study, researchers have shown that the levels of toxic chemicals in the body from e-cigarettes are considerably lower than suggested in previous studies using simulated experiments. This means some doubts about the safety of e-cigarettes may be wrong. The bottom line is that e-cigarettes appear to be much safer than traditional cigarettes. In course, the best approach is to stop smoking any type of products, traditional cigarettes and e-cigarettes, but at least this data suggest that e-cigarettes may be a useful long-term aid to smoking cessation for people who struggle to quit using other methods; however, the health benefits will only occur if users stop smoking traditional cigarettes altogether.  Dr. C. Joseph Bennett Jr. is a board-certified radiation oncologist. If you have any suggestions for topics, or have any questions, contact him at 522 N. Lecanto Highway, Lecanto, FL 34461, or email cjbennett@rboi.com.	google		a new study finds that smokers who switch to e-cigarettes only, much like those who switch to nicotine replacement therapy only, have fewer carcinogens and toxins in their bodies after six months, than those who continue to smoke cigarettes.								In some previous reports, research has suggested that e-cigarettes cause as much harm as combustible cigarettes, but the study authors note that they are based on research that does not reflect real-world exposure of e-cigarette users.
52	0fd33f42-9089-3ade-b756-0938f7385202	Research and Markets: The Future of the Tobacco and Tobacco Products ... - Business Wire (press release)	DUBLIN--(BUSINESS WIRE)--Research and Markets (http://www.researchandmarkets.com/research/z7x39j/the_future_of_the) has announced the addition of Canadean Ltd's new report "The Future of the Tobacco and Tobacco Products Packaging Market in UK to 2018: Consumption of Primary, Outer, Closure and Multi-pack Packaging" to their offering.  The Future of the Tobacco and Tobacco Products Packaging Market in the UK to 2018 is a data-only report providing extensive and highly detailed time series consumption data on primary and outer packaging in the retail market. The report provides in-depth quantitative data on retail Tobacco and Tobacco Products packaging covering key segmentations such as pack material and type closure material and type outer and multi-pack information. Data sets are provided for 2008 2013 and 2018 with 2013 being actuals.	google										
53	45b17c2e-7320-3eab-a2fa-779936d7e493	Prisoners to be banned from smoking behind bars	Prisoners are to be banned from smoking in eight prisons across England and Wales amid warnings the move could lead to unrest behind bars and legal challenges .  Inmates will not be able to buy or use tobacco in the jails from January, while those in open prisons will be barred from lighting up indoors from next month.  The Ministry of Justice announced the ban as the first stage of a national roll-out, and issued the findings of a scientific report showing prison officers were being exposed to “significant” amounts of second-hand smoke while on duty.  Andrew Selous, the prisons minister, said: “We have no plans to move to smoke free prisons overnight and will only do so in a phased way that takes into account operational resilience and readiness of each prison.  “The operational safety and security of our prisons will always be our top priority.”  Prisoners will be given access to e-cigarettes and products to help them give up the habit.  Mark Leech, editor of the Prisons Handbook, said: “We could have a very difficult time ahead of us – prisons are full of people with mental illness, who suffer from impulsive behaviour and who can be violent.  “I fear there will be unrest over this. There is also always the prospect of legal challenges.”  An independent report commissioned by the Ministry of Justice found prison officers spent on average one hour in six per shift exposed to secondary smoke above guidance levels.  The officers’ exposure to smoke was “at times significant” – for example, in Cardiff prison staff were exposed to levels of secondary smoke for more than three quarters of their shift.  Electronic measuring showed one officer was exposed to 1,027 micrograms of particulates per cubic metre, compared with a World Health Organisation recommended limit of 25 micrograms.  Sean Humber, a prison lawyer representing non-smoking prisoners concerned at their exposure to tobacco smoke, said: “In light of these monitoring results, which indicate that prison staff and non-smokers are currently being exposed to potentially unhealthy levels of cigarette smoke, it seems likely that the remaining prisons in England will need to go smoke free soon after these first four.”  • What is Stoptober and why is it popular?  All four Welsh prisons will go smoke-free from January along with jails at Exeter, Channings Wood and Dartmoor, all in Devon, and Erlestoke, in Wiltshire.	bing	Prisoners are to be banned from smoking in eight prisons across England and Wales amid warnings the move could lead to unrest behind bars and legal challenges									
54	f9990522-6fbe-3135-8e45-c7cb8e7ef7d2	5 people fined for smoking on an inter-island vessel	Police and the Tobacco Officers had charged 5 people with smoking in a public place an inter-island vessel, yesterday.  The incident occurred during the vessel’s boarding on a trip to the outer islands.  Tobacco officer of the Ministry of Health Le’omolotu Havea said these people were fined because all licensed premises such as shipping vessels, buses and taxis are smoke free areas.  They were fined to pay TOP$100.00 each.  The duo also fined a 26 year old female vendor from Fasi moe Afi with TOP$200.00 due to the retail sale of tobacco sticks at a public area.  Since the operation started last year, close to 200 people have been fined and close to TOP$20, 000 collected from the operation with the youngest fined, a 13 year old.  Le’omolotu said people who are dissatisfied with the Act can prepare a petition regarding the issue and submit to parliament.	webhose.io										
55	fbe5a7d3-0d00-3e4e-98b0-750b4a79cada	Campaign Urges Smokers to Enlist Doctors' Help in Quitting	Campaign Urges Smokers to Enlist Doctors' Help in Quitting  TUESDAY, May 28 (HealthDay News) -- Getting help and advice from a doctor more than doubles the chances that smokers can kick the habit, and U.S. health officials and medical groups are launching a new campaign to make that happen for the nearly 70 percent of smokers who say they want to quit.  The U.S. Centers for Disease Control and Prevention has teamed up with five national physician groups to create the "Talk With Your Doctor" campaign. As its name implies, the campaign was established to encourage smokers to ask a doctor for help in quitting. The campaign also calls on doctors to ask their patients if they need help to stop smoking.  "Taking just a few minutes to talk to your patients about smoking can double the odds of them successfully quitting," said Surgeon General Dr. Regina Benjamin in a CDC news release. "As a physician, I know that clinicians and their staff can play an incredibly important role in helping smokers move from thinking about quitting to taking real steps toward successful quitting."  The "Talk With Your Doctor" campaign will combine with the existing "Tips From Former Smokers'' campaign from May 27 through June 2. Ads will appear on national television and online.  "Smokers have told us that hard-hitting, emotionally powerful ads like these provide the motivation they need, and the response to the ads supports that," CDC Director Dr. Tom Frieden said in the news release. "We believe 'Talk With Your Doctor' will amplify and expand the great success of 'Tips' and offer more encouragement for smokers to quit for good. We hope doctors will offer evidence based counseling and medications to all patients who can benefit from them."  As part of this effort, doctors will also be offered educational materials and training on tobacco interventions.  The new campaign involves the American Medical Association, the American Academy of Family Physicians, the American Academy of Pediatrics, the American College of Physicians and the American Congress of Obstetricians and Gynecologists.  "I've been a practicing physician who's helped patients quit, and treated some of the terrible diseases in those who didn't quit in time," Dr. Tim McAfee, director of the CDC's Office on Smoking and Health, said in the release. "The message of the 'Tips' campaign and our new 'Talk With Your Doctor' campaign is simple: Quit smoking now. Or better yet, don't start. Studies show that the sooner you quit the better. And there is nothing you can do to add more years to your life than to quit smoking."  Cigarette smoking kills an estimated 440,000 Americans each year, and 43 million Americans are current smokers.  The American Cancer Society provides a guide to quitting smoking.	bing										
56	1c66cbbb-d61b-3c07-853e-0a4900f956db	Examining The Malleability Of Cigarette Product Preference	Author Date of Award 2019 Document Type Dissertation Degree Name Doctor of Philosophy (PhD) Department Psychology First Advisor Stephen T. Higgins Abstract Introduction: Cigarette preference increases as a function of nicotine content, but preference can be shifted by manipulating cigarette cost. The aim of the present study is to model whether the behavioral-economic metric of unit price (cigarette cost/nicotine content) accounts for cigarette preference shifts and whether preference changes to very low nicotine content cigarettes (VLNCs) are associated with corresponding changes in smoking rate. Methods: 169 daily smokers from populations vulnerable to smoking completed sessions in which choices between smoking normal nicotine content (NNC) (15.8mg/g) and VLNC (0.4mg/g) cigarettes were concurrently available. In Condition 1, choices for both products were available ad-lib at an equal cost of 10 responses/choice. In Condition 2, VLNCs were again available ad-lib at 10 responses/choice, but NNCs were available on a progressive-ratio (PR) schedule wherein response cost (and unit price) increased following each NNC choice (10,160,320…8400 responses/choice). Results were analyzed using ANOVAs and a binomial test (p Results: Participants preferred NNCs over VLNCs in Condition 1, but shifted preference to VLNCs in Condition 2 (p Conclusions: These results suggest that unit price of nicotine underpins cigarette preference and may provide a metric by which regulators can predict product preference and potentially impact it through policy. These results also demonstrate that VLNCs sustain lower smoking rates than NNCs even under acute laboratory conditions. Language en Number of Pages 74 p. Recommended Citation Davis, Danielle Rose, "Examining The Malleability Of Cigarette Product Preference" (2019). Graduate College Dissertations and Theses. 1055. https://scholarworks.uvm.edu/graddis/1055	rss										
57	813e22c8-9477-36a7-b56a-e8af09ad9cd8	Tag Archives: teen tobacco survery	While spokesmen for the MN Dept. of Health bent over backwards to make the smoking/tobacco news into a “good news, bad news” story, in fact the actual public-health story is all good: historic decline in teen smoking! Continue reading →	bing										
